"","nrows","train_accuracy","cv_accuracy"
"1",25,0.92,0.721804511278195
"2",50,0.84,0.714285714285714
"3",75,0.893333333333333,0.718045112781955
"4",100,0.83,0.740601503759398
"5",125,0.888,0.729323308270677
"6",150,0.86,0.744360902255639
"7",175,0.88,0.759398496240602
"8",200,0.855,0.766917293233083
"9",225,0.857777777777778,0.770676691729323
"10",250,0.84,0.800751879699248
"11",275,0.854545454545454,0.781954887218045
"12",300,0.863333333333333,0.796992481203007
"13",325,0.855384615384615,0.800751879699248
"14",350,0.874285714285714,0.804511278195489
"15",375,0.856,0.800751879699248
"16",400,0.8625,0.800751879699248
"17",425,0.863529411764706,0.815789473684211
"18",450,0.853333333333333,0.793233082706767
"19",475,0.861052631578947,0.793233082706767
"20",500,0.862,0.793233082706767
"21",525,0.870476190476191,0.793233082706767
"22",550,0.850909090909091,0.785714285714286
"23",575,0.871304347826087,0.81203007518797
"24",600,0.87,0.796992481203007
